"","headline","url"
"1","
                        21:39
                         Контактна група знову збереться у Мінську 27 березня
                    ","/rubric-polytics/2659009-kontaktna-grupa-znovu-zberetsa-u-minsku-27-berezna.html"
"2","
                        21:02
                         Холодницький відсторонив старшого прокурора САП через провал в оборонній справі
                    ","/rubric-polytics/2658995-holodnickij-vidstoroniv-starsogo-prokurora-sap-cerez-proval-v-oboronnij-spravi.html"
"3","
                        21:00
                         Вибори в Україні є мішенню для кремлівських маніпуляторів - Расмуссен
                    ","/rubric-elections/2658993-vibori-v-ukraini-e-misennu-dla-kremlivskih-manipulatoriv-rasmussen.html"
"4","
                        20:58
                          Політв’язні  Адвокат: здоров'я Бекірова різко погіршилося - почалися судоми
                    ","/rubric-crimea/2658990-advokat-zdorova-bekirova-rizko-pogirsilosa-pocalisa-sudomi.html"
"5","
                        20:39
                         Ситник прокоментував можливе відсторонення згаданих у Bihus.info працівників НАБУ
                    ","/rubric-polytics/2658981-sitnik-prokomentuvav-mozlive-vidstoronenna-zgadanih-u-bihusinfo-pracivnikiv-nabu.html"
"6","
                        20:34
                         У роботі Facebook та Instagram стався збій
                    ","/rubric-technology/2658978-u-roboti-facebook-ta-instagram-stavsa-zbij.html"
"7","
                        20:28
                          Фото  Рідні українських моряків в ООН: життя поділилося на “до” та “після”
                    ","/rubric-crimea/2658971-ridni-ukrainskih-morakiv-v-oon-zitta-podililosa-na-do-ta-pisla.html"
"8","
                        20:04
                         Окупанти обстріляли Авдіївку та Мар’їнку, поранені двоє бійців ЗСУ
                    ","/rubric-ato/2658961-okupanti-obstrilali-avdiivku-ta-marinku-poraneni-dvoe-bijciv-zsu.html"
"9","
                        19:53
                          Оновлено  Прокуратура висунула проти Манафорта нові звинувачення
                    ","/rubric-world/2658956-prokuratura-visunula-proti-manaforta-novi-zvinuvacenna.html"
"10","
                        19:47
                         ДБР перевіряє інформацію про підготовку замаху на Білецького
                    ","/rubric-polytics/2658952-dbr-perevirae-informaciu-pro-pidgotovku-zamahu-na-bileckogo.html"
"11","
                        19:33
                         Схеми в оборонці: Холодницький каже, що доля переданих до НАБУ 87 аркушів - невідома
                    ","/rubric-polytics/2658943-shemi-v-oboronci-holodnickij-kaze-so-dola-peredanih-do-nabu-87-arkusiv-nevidoma.html"
"12","
                        19:23
                         Boeing може втратити $57 мільярдів після авіакатастрофи в Ефіопії
                    ","/rubric-world/2658937-boeing-moze-vtratiti-57-milardiv-pisla-aviakatastrofi-v-efiopii.html"
"13","
                        19:20
                         Військова прокуратура не знайшла доказів передачі хабаря посадовцям МОУ
                    ","/rubric-society/2658934-vijskova-prokuratura-ne-znajsla-dokaziv-peredaci-habara-posadovcam-mou.html"
"14","
                        19:11
                         Балуху нарешті змогли передати продукти і теплі черевики
                    ","/rubric-crimea/2658924-baluhu-naresti-zmogli-peredati-produkti-i-tepli-cereviki.html"
"15","
                        19:10
                         САП відкрила справу після першої ж серії розслідування Bihus.Info - Холодницький
                    ","/rubric-polytics/2658929-holodnickij-kaze-so-sap-vidkrila-spravu-pisla-persoi-z-serii-rozsliduvanna-bihusinfo.html"
